,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_activation,param_activation_final,param_batch_size,param_dropout,param_epochs,param_in_layer,param_loss,param_neurons,param_optimizer,param_shape,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,split4_test_score,split4_train_score,std_fit_time,std_score_time,std_test_score,std_train_score,error
0,6.50914831161499,0.03552746772766113,0.7968574635241302,0.9332240729943111,relu,sigmoid,1024,0.0,1000,26,binary_crossentropy,32,adam,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.0, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adam', 'shape': 'two'}",50,0.7597765363128491,0.9438202247191011,0.7471910112359551,0.9424964936886395,0.8370786516853933,0.9214586255259467,0.7640449438202247,0.9312762973352033,0.8764044943820225,0.9270687237026648,2.5977240389646594,0.013356833030531872,0.05070930019016592,0.008699012886053285,0.02535465009508296
1,4.485912609100342,0.07627983093261718,0.813692480359147,0.9051657027593489,relu,sigmoid,1024,0.0,1000,26,binary_crossentropy,32,adagrad,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.0, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adagrad', 'shape': 'two'}",39,0.7877094972067039,0.9157303370786517,0.8033707865168539,0.9130434782608695,0.8314606741573034,0.9032258064516129,0.7752808988764045,0.9116409537166901,0.8707865168539326,0.8821879382889201,0.04684052896664512,0.010088119661199376,0.03414610533910786,0.012225715339862666,0.01707305266955393
2,4.7284825325012205,0.12095341682434083,0.8237934904601572,0.8914197803236839,relu,sigmoid,1024,0.0,1000,26,binary_crossentropy,32,rmsprop,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.0, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'rmsprop', 'shape': 'two'}",19,0.7932960893854749,0.9115168539325843,0.8258426966292135,0.8990182328190743,0.848314606741573,0.8863955119214586,0.7865168539325843,0.8807854137447405,0.8651685393258427,0.879382889200561,0.221970642481243,0.014206106744911896,0.030453352014660432,0.01220531541082925,0.015226676007330216
3,5.7022138118743895,0.17165513038635255,0.813692480359147,0.910216760956238,relu,sigmoid,1024,0.0,1000,26,binary_crossentropy,32,adadelta,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.0, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adadelta', 'shape': 'two'}",39,0.7821229050279329,0.922752808988764,0.7921348314606742,0.9284712482468443,0.8595505617977528,0.9172510518934082,0.7640449438202247,0.8892005610098177,0.8707865168539326,0.8934081346423562,0.11186924025194045,0.011987855127284824,0.04309085365010151,0.015900129774647102,0.021545426825050756
4,6.399158954620361,0.22659082412719728,0.7901234567901234,0.914423940621208,relu,sigmoid,1024,0.0,1000,26,binary_crossentropy,32,nadam,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.0, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'nadam', 'shape': 'two'}",52,0.7374301675977654,0.9213483146067416,0.7808988764044944,0.9242636746143057,0.8258426966292135,0.9214586255259467,0.7865168539325843,0.8990182328190743,0.8202247191011236,0.906030855539972,0.14843670014071902,0.012431738384756152,0.031832496978155246,0.010020317579009203,0.015916248489077623
5,6.815646076202393,0.301282262802124,0.813692480359147,0.9332217091888996,relu,sigmoid,1024,0.1,1000,26,binary_crossentropy,32,adam,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.1, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adam', 'shape': 'two'}",39,0.7821229050279329,0.9353932584269663,0.7865168539325843,0.9396914446002805,0.8258426966292135,0.9368863955119214,0.8033707865168539,0.9340813464235624,0.8707865168539326,0.9200561009817672,0.15305143579161143,0.017937063953424856,0.03239984105167508,0.006842152349541769,0.01619992052583754
6,6.147995519638061,0.3660531997680664,0.8181818181818182,0.9118997904092534,relu,sigmoid,1024,0.1,1000,26,binary_crossentropy,32,adagrad,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.1, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adagrad', 'shape': 'two'}",35,0.770949720670391,0.922752808988764,0.8146067415730337,0.9270687237026648,0.8426966292134831,0.9046283309957924,0.7921348314606742,0.9102384291725105,0.8707865168539326,0.8948106591865358,0.15860138613582955,0.01807388289006323,0.03548460813627893,0.011794551272981865,0.017742304068139467
7,6.562741327285766,0.4344827175140381,0.8249158249158249,0.9082516507241124,relu,sigmoid,1024,0.1,1000,26,binary_crossentropy,32,rmsprop,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.1, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'rmsprop', 'shape': 'two'}",17,0.776536312849162,0.9171348314606742,0.8146067415730337,0.9144460028050491,0.848314606741573,0.9102384291725105,0.7921348314606742,0.9144460028050491,0.8932584269662921,0.884992987377279,0.22041054185072506,0.01914695890390894,0.041816235825771125,0.011836921936787282,0.020908117912885563
8,7.557801389694214,0.5032513618469239,0.8237934904601572,0.9079711458152765,relu,sigmoid,1024,0.1,1000,26,binary_crossentropy,32,adadelta,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.1, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adadelta', 'shape': 'two'}",19,0.7877094972067039,0.9171348314606742,0.8202247191011236,0.9256661991584852,0.8370786516853933,0.8962131837307152,0.7865168539325843,0.906030855539972,0.8876404494382022,0.8948106591865358,0.06385146426121309,0.018277291047823177,0.03730084806110702,0.011935668012024761,0.01865042403055351
9,8.185200548171997,0.5851816177368164,0.8125701459034792,0.9343480624674976,relu,sigmoid,1024,0.1,1000,26,binary_crossentropy,32,nadam,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.1, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'nadam', 'shape': 'two'}",44,0.7877094972067039,0.9508426966292135,0.7921348314606742,0.9368863955119214,0.8314606741573034,0.9298737727910238,0.7865168539325843,0.9326788218793829,0.8651685393258427,0.9214586255259467,0.16547299142193306,0.02270353533053042,0.031099548536854954,0.009669118963933432,0.015549774268427477
10,7.8636352062225345,0.6718873023986817,0.8215488215488216,0.9256476826827615,relu,sigmoid,1024,0.2,1000,26,binary_crossentropy,32,adam,two,"{'activation': 'relu', 'activation_final': 'sigmoid', 'batch_size': 1024, 'dropout': 0.2, 'epochs': 1000, 'in_layer': 26, 'loss': 'binary_crossentropy', 'neurons': 32, 'optimizer': 'adam', 'shape': 'two'}",27,0.7988826815642458,0.9339887640449438,0.7865168539325843,0.9354838709677419,0.8426966292134831,0.9158485273492286,0.7921348314606742,0.9228611500701263,0.8876404494382022,0.9200561009817672,0.24535086992332414,0.019510680511183456,0.038512496983886216,0.007763739220749378,0.019256248491943108
